Company,Industry,Founded,Number of Partners
Adobe,Software,1982,2779
Amazon Web Services,"Information Technology, IT Services and IT Consulting",2006,4926
Dell,Hardware,1984,1738
Facebook,"Social Media, Internet",2004,1624
Fortinet,Cyber Security,2000,1114
Google,Internet,1998,4261
Hewlett Packard Enterprise,IT Services and IT Consulting,1939,5889
IBM,"Software, Information Technology",1911,1186
Microsoft,"Software, Information Technology, Developer Tools, Artificial Intelligence , Consumer Goods",1975,2581
Oracle,"Software, Information Technology, Enterprise Solutions",1977,4576
Red Hat,Software,1993,2508
Salesforce,Internet,1999,5207
SAP,Software,1972,1071
Symantec CloudSOC,"Software, Information Technology, Cyber Security",1982,1010
VMware,Software,1998,2262
